members,value_ua,site,type
48210,17439,Шептун,connected with sbu
21471,16428,Разведчик,connected with sbu
138438,15293,ТАЙНЫ ДЕПУТАТА,connected with sbu
110863,13502,Новини 24/7,connected with sbu
31970,13099,Наблюдатель,connected with sbu
13729,12186,Региональная власть,connected with sbu
30333,12069,Шарий.net,connected with sbu
31542,9979,Партия Шария,connected with sbu
65098,6734,Украина в Сети,connected with sbu
4600,4600,Вертикаль,connected with sbu
22088,4451,Киев Власть,connected with sbu
4445,4400,Депутатская курилка,connected with sbu
3792,3220,Секретов.НЕТ,connected with sbu
