number,borders,address,july,august,sept,links,rajon,country,difference
740869,"с.Сіножацьке, с.Топчіївка","вул.Шосейна, 7А, с.Топчіївка, Чернігівський р-н, Чернігівська обл., 15574 (сільська бібліотека, к.2)",186,190,221,!cm_core.cm_index?option=ext_dvk&pid100=74&pf5242=740869&prejim=1,Олишівська селищна громада,,18.8172043010753
320620,"с.Петропавлівська Борщагівка – вул.Берегова, вул.Велика Кільцева, вул.Гагаріна, вул.Горького, вул.Живописна, вул.Жовтнева, вул.Кооперативна, вул.Озерна, вул.Оксамитова, вул.Олександра Матросова, вул.Островського, вул.Чкалова, вул.Шевченка, вул.Щаслива","вул.Кооперативна, 1, с.Петропавлівська Борщагівка, Києво-Святошинський р-н, Київська обл., 08130 (центр розвитку ""Апельсин"", танцювальна зала, 1-й поверх)",1966,1993,2275,!cm_core.cm_index?option=ext_dvk&pid100=32&pf5242=320620&prejim=1,Борщагівська сільська громада,,15.7171922685656
320621,"с.Петропавлівська Борщагівка – вул.Соборна, вул.Шкільна","вул.Соборна, 32, с.Петропавлівська Борщагівка, Києво-Святошинський р-н, Київська обл., 08130 (Петропавлівсько-Борщагівська загальноосвітня школа, спортивна зала)",2132,2164,2395,!cm_core.cm_index?option=ext_dvk&pid100=32&pf5242=320621&prejim=1,Борщагівська сільська громада,,12.3358348968105
320622,"с.Петропавлівська Борщагівка – вул.Вінниченка, вул.Волинська, вул.Волошкова, вул.Закарпатська, вул.Затишна, вул.Зоряна, вул.Івано-Франківська, вул.Каштанова, вул.Київська, вул.Львівська, вул.Миру, вул.Райдужна, вул.Сонячна, вул.Тернопільська, вул.Чернівецька","вул.Ярослава Мудрого, 1А, с.Петропавлівська Борщагівка, Києво-Святошинський р-н, Київська обл., 08130 (Петропавлівсько-Борщагівська сільська рада, фойє)",2348,2484,2863,!cm_core.cm_index?option=ext_dvk&pid100=32&pf5242=320622&prejim=1,Борщагівська сільська громада,,21.9335604770017
321416,"с.Чайки – вул.Андрія Малишка, вул.Антонова, вул.Артура Яроша, вул.Вінниченка, вул.Григорія Сковороди, вул.Грушевського, вул.Івана Франка, вул.Катерини Білокур, вул.Котляревського, вул.Коцюбинського, вул.Леонтовича, вул.Лесі Українки, вул.Марії Заньковецької, вул.Марка Вовчка, вул.Михайла Старицького, вул.Михайла Стельмаха, вул.Нечуя-Левицького, вул.Олександра Білаша, вул.Олени Теліги, вул.Остапа Вишні, вул.Панаса Мирного, вул.Печерська, вул.Сливова","вул.Коцюбинського, 7, с.Чайки, Києво-Святошинський р-н, Київська обл., 08130 (житловий будинок, офісне приміщення, хол, 1-й поверх)",1415,1447,1643,!cm_core.cm_index?option=ext_dvk&pid100=32&pf5242=321416&prejim=1,Борщагівська сільська громада,,16.113074204947
321421,"с.Софіївська Борщагівка – вул.Академіка Шалімова, вул.Павла Чубинського, вул.Соборна: 126/1–132; просп.Героїв Небесної Сотні: 22/1–26/18;","пров.Шкільний, 1В, с.Софіївська Борщагівка, Києво-Святошинський р-н, Київська обл., 08131 (Софіївсько-Борщагівська загальноосвітня школа, актова зала, 2-й поверх)",2313,2411,2714,!cm_core.cm_index?option=ext_dvk&pid100=32&pf5242=321421&prejim=1,Борщагівська сільська громада,,17.3367920449633
321427,"с.Софіївська Борщагівка – вул.Військове містечко №13, вул.Дорошенко, вул.Кошова, вул.Поліська, вул.Райдужна, вул.Сагайдачного, вул.Січова, просп.Героїв Небесної Сотні: 16А–20/3, 28–103/15;","просп.Героїв Небесної Сотні, 16, с.Софіївська Борщагівка, Києво-Святошинський р-н, Київська обл., 08131 (Софіївсько-Борщагівський ДНЗ ""Совенятко"", фойє)",2411,2488,2878,!cm_core.cm_index?option=ext_dvk&pid100=32&pf5242=321427&prejim=1,Борщагівська сільська громада,,19.3695562007466
321429,"с.Софіївська Борщагівка – вул.Боголюбова: 21, 23, 25; вул.Лесі Українки, просп.Мартинова","вул.Сонячна, 10, с.Софіївська Борщагівка, Києво-Святошинський р-н, Київська обл., 08131 (навчально-виховний комплекс ""Софія"", фойє, 1-й поверх)",1283,1293,1466,!cm_core.cm_index?option=ext_dvk&pid100=32&pf5242=321429&prejim=1,Борщагівська сільська громада,,14.2634450506625
321432,"с.Петропавлівська Борщагівка – бульв.Дружби, вул.Борщагівська, вул.Весняна, вул.Вишгородська, вул.Вишнева, вул.Вінницька, вул.Дніпропетровська, вул.Донецька, вул.Житомирська, вул.Запорізька, вул.Зелений Гай, вул.Квітнева, вул.Кіровоградська, вул.Княгині Ольги, вул.Князя Володимира, вул.Луганська, вул.Макарівська, вул.Малинська, вул.Мальовнича, вул.Миколаївська, вул.Незалежності, вул.Одеська, вул.Паркова, вул.Полтавська, вул.Прорізна, вул.Рівненська, вул.Садова, вул.Святошинська, вул.Сумська, вул.Травнева, вул.Трояндова, вул.Фізкультурна, вул.Харківська, вул.Херсонська, вул.Хмельницька, вул.Центральна, вул.Черкаська, вул.Чернігівська, вул.Яблунева, вул.Ярослава Мудрого, пров.Софіївський, пров.Фізкультурний","вул.Паркова, 34Б, с.Петропавлівська Борщагівка, Києво-Святошинський р-н, Київська обл., 08130 (Петропавлівсько-Борщагівський ліцей №1, вестибюль)",2270,2347,2583,!cm_core.cm_index?option=ext_dvk&pid100=32&pf5242=321432&prejim=1,Борщагівська сільська громада,,13.7885462555066
321433,"с.Софіївська Борщагівка – вул.Абрикосова, вул.Бишівська, вул.Затишна, вул.Зелена, вул.Калинова, вул.Петрівська, вул.Соборна: 103–110; вул.Тарасівська","вул.Зелена, 12, с.Софіївська Борщагівка, Києво-Святошинський р-н, Київська обл., 08131 (житловий будинок, фойє, 1-й поверх)",1824,2048,2199,!cm_core.cm_index?option=ext_dvk&pid100=32&pf5242=321433&prejim=1,Борщагівська сільська громада,,20.5592105263158
