number,borders,address,july,august,sept,links,rajon,country,difference
350224,"с.Дмитрівка – вул.Кавказька, вул.Кільцева, вул.Коцюбинського, вул.Миру, вул.Набережна, вул.Нечаєва: 2–35, 39; вул.Нова, вул.Новоінгульська, вул.Новомиколаївська, вул.Партизанська, вул.Підгірна, вул.Польова, вул.Пушкіна, вул.Степова, вул.Христофорівська, вул.Шамівська, вул.Шевченка, пров.Вишневий, пров.Квітневий, пров.Левадний, пров.Луняченко, пров.Центральний, с.Гостинне, с.Долина, с.Калинівка","пл.Перемоги, 12, с.Дмитрівка, Знам’янський р-н, Кіровоградська обл., 27422 (сільський будинок культури, вестибюль)",712,710,1243,!cm_core.cm_index?option=ext_dvk&pid100=35&pf5242=350224&prejim=1,Дмитрівська сільська громада,,74.5786516853933
680020,"с.Денисівка, с.Данилівка","вул.Незалежності, 13, с.Денисівка, Білогірський р-н, Хмельницька обл., 30242 (будинок культури, фойє)",283,489,489,!cm_core.cm_index?option=ext_dvk&pid100=68&pf5242=680020&prejim=1,Білогірська селищна громада,,72.791519434629
350016,с.Кетрисанівка,"вул.Шкільна, 1А, с.Кетрисанівка, Бобринецький р-н, Кіровоградська обл., 27247 (школа, фоє)",475,475,841,!cm_core.cm_index?option=ext_dvk&pid100=35&pf5242=350016&prejim=1,Кетрисанівська сільська громада,,77.0526315789474
142228,"м.Маріуполь – вул.Азовська, вул.Верхні Аджахи: 86–272; вул.Верхній блок, вул.Грецька: 173–173Б, 175–177, 179, 181, 183, 185–264Б; вул.Заводська, вул.Конституції, вул.Левицького, вул.Міжрічкова, вул.Мусоргського, вул.Нижні Аджахи: 107–109, 113, 115, 123–256; вул.Річкова, вул.Торгова: 162, 164, 166–166А, 168–176, 178, 180, 182–184, 186А–188, 190, 192–192А, 198–200А, 205–241; вул.1 Азовська, вул.1 Кальчик, вул.1 Матросова, вул.2 Азовська, вул.2 Кальчик, вул.3 Азовська, вул.4 Азовська, пл.Правобережна, пров.Азовський, пров.Воїнський, пров.Грецький, пров.Заводський, пров.Левицького, пров.Правобережний, пров.Семенішина","вул.Грецька, 219, м.Маріуполь, Донецька обл., 87507 (школа №17, актова зала)",1194,1194,2229,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142228&prejim=1,Маріупольська міська громада,,86.6834170854272
142229,"м.Маріуполь – вул.А.Куїнджі: 97, 99–125, 131–133А, 135–141А, 148–156; вул.Архітектора Нільсена: 139–173; вул.Готфейська: 1–3А, 5–5А, 7, 9А, 11, 13, 15, 17; вул.Кальміуська: 1–25; вул.Кальчанська, вул.Карасівська: 1–19, 21; вул.Успенська, вул.Шевченка: 2–19, 21–21А, 27, 29–29А, 31–33, 35–35А, 37, 39; пров.Кальміуський, пров.Кальчанський, пров.Каретний, пров.Сартанський, просп.Металургів: 129А, 129Б, 133, 133А;","вул.А.Куїнджі, 140, м.Маріуполь, Донецька обл., 87549 (школа №36, хол, праве крило, 1-й поверх)",1451,1454,2034,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142229&prejim=1,Маріупольська міська громада,,40.1791867677464
142230,"м.Маріуполь – вул.А.Куїнджі: 142–146; вул.Верхні Аджахи: 1–84А; вул.Грецька: 105, 107, 109, 111, 113, 115, 119, 121–123А, 125, 127, 129, 139–172, 174, 178–178А, 180–180Б, 182–182/2, 184–184А; вул.Мар’їнська: 6–27; вул.Нижні Аджахи: 1–105, 110–110А, 114, 116; вул.Торгова: 86, 88–88/88А, 90, 92, 97–161, 163, 165, 167, 177, 179, 181, 185, 189, 191, 193–197, 201–203В; просп.Металургів: 123А, 127, 127А, 129, 131А;","вул.А.Куїнджі, 140, м.Маріуполь, Донецька обл., 87549 (школа №36, хол, ліве крило, 1-й поверх)",1442,1443,2011,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142230&prejim=1,Маріупольська міська громада,,39.4590846047157
142232,"м.Маріуполь – бульв.Шевченка: 91–93; вул.Волзька, вул.Котляревського, пров.Волзький, пров.Котляревського, проїзд Котляревського, просп.Металургів: 102;","просп.Металургів, 121А, м.Маріуполь, Донецька обл., 87549 (школа №16, хол)",1864,1855,2243,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142232&prejim=1,Маріупольська міська громада,,20.3326180257511
142233,"м.Маріуполь – вул.А.Куїнджі: 130, 134; вул.Бахмутська: 1А–47А, 49, 51, 53; вул.Готфейська: 4–4А, 6, 8, 10, 12, 14, 16–16А, 18–27; вул.Грецька: 74, 76, 78–78А, 80, 82, 84–104Б, 106, 108, 110, 112, 114, 116–118, 120/18, 124, 126, 128, 130–138; вул.Євпаторійська: 3–28, 30–30А; вул.Карасівська: 20, 23–34; вул.Кафайська: 3–34; вул.Новосхідна, вул.Шевченка: 20/138, 22–26, 28, 30, 34, 36, 38; пров.Бахмутський, пров.Колгоспний, пров.Новосхідний, просп.Металургів: 109, 111, 117, 119, 121, 123; тупик Бахмутський","просп.Металургів, 121А, м.Маріуполь, Донецька обл., 87549 (школа №16, рекреація)",1865,1865,2233,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142233&prejim=1,Маріупольська міська громада,,19.7319034852547
142234,"м.Маріуполь – бульв.Шевченка: 71, 73, 77–87А; вул.А.Куїнджі: 130А; вул.Затишна: 2–4, 6, 8, 10–10А, 12, 14–16В, 18, 20, 22, 24, 26, 28–30, 32–34, 40, 46, 48, 50, 52, 54, 56, 58, 60–64, 66–66А, 68, 70, 72, 74, 76, 78, 80–84; вул.Кальміуська: 56–141; вул.Левітана, вул.Свободи, вул.Шевченка: 102–110, 135, 139–139А; пров.Вишневий, пров.Левітана, пров.Свободи, просп.Металургів: 113; тупик Левітана","просп.Металургів, 121А, м.Маріуполь, Донецька обл., 87549 (школа №16, рекреація)",1206,1206,1646,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142234&prejim=1,Маріупольська міська громада,,36.4842454394693
142240,"м.Маріуполь – вул.Архітектора Нільсена: 35А; вул.Георгіївська: 75, 79; вул.Італійська: 103, 105, 107, 109, 109А, 109Б, 111, 111А, 113, 119, 121, 123, 125, 129, 136, 136А, 138, 140, 144, 164, 166, 168, 170, 172, 174, 176, 184, 186, 188, 190, 192, 192/2, 194, 198, 200, 202, 204, 206, 210, 212, 214, 216, 218, 218А, 220, 222, 222Б, 224, 224А, 226, 226А, 226/2, 228, 230, 232, 234, 236, 238, 250, 258; вул.Казанцева: 12–14А, 18А; вул.Клинова, вул.Лісова: 1, 1А, 3, 4, 5, 5А, 6, 6А, 7, 8, 9, 9А, 10, 10А, 11, 12, 14, 14А, 16, 18, 20, 20А, 24; вул.Університетська, вул.Шахтарська: 2, 4А, 6, 8, 10, 10А, 20, 22, 35, 37, 37А, 39, 41, 43, 45, 47; пров.Кибальчича, пров.Парниковий, пров.Стрілковий, пров.Український, просп.Металургів: 31, 33, 35, 37; просп.Миру: 54/46–62, 66/39; просп.Нахімова: 99, 101, 103, 105;","вул.Казанцева, 3А, м.Маріуполь, Донецька обл., 87500 (Приазовський державний технічний університет, навч.корп.№9, хол)",1567,1567,2208,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142240&prejim=1,Маріупольська міська громада,,40.9061901723038
142255,"м.Маріуполь – вул.Громової: 60, 62; вул.Зелінського: 19Б; просп.Будівельників: 82, 84, 86, 88, 92, 110; просп.Миру: 104, 106, 108–110/35, 112, 114;","вул.Бахчиванджи, 29, м.Маріуполь, Донецька обл., 87534 (загальноосвітня санаторна школа-інтернат І-ІІ ступенів №11 Донецької обласної ради, спортивний зал)",1804,1793,2159,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142255&prejim=1,Маріупольська міська громада,,19.6784922394679
142256,"м.Маріуполь – вул.Бахчиванджи: 3, 9/37, 11., 17, 19, 33, 43, 47, 55; вул.Гризодубової, вул.Громової: 37, 39, 41, 43, 45, 47, 49, 51, 53, 55, 57, 59/2, 61, 61А; вул.Зелінського: 19А, 21, 21А, 23, 27, 30, 33, 53., 53/21, 55., 57., 61., 63., 65., 65А, 67., 69., 71., 73А, 75, 77, 79, 81, 83, 85, 87; вул.Талалихіна: 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58; пров.Зелінського: 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 48; просп.Будівельників: 70, 72, 72А, 74, 76, 78, 80;","вул.Бахчиванджи, 29, м.Маріуполь, Донецька обл., 87534 (загальноосвітня санаторна школа-інтернат І-ІІ ступенів №11 Донецької обласної ради, спортивний зал)",1807,1795,2070,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142256&prejim=1,Маріупольська міська громада,,14.5545102379635
142257,"м.Маріуполь – вул.Бахчиванджи: 21, 23, 25, 27, 27А, 41; вул.Громової: 50, 56; вул.Зелінського: 13, 15, 17А, 17Б, 19; просп.Будівельників: 62, 64, 66;","вул.Бахчиванджи, 29, м.Маріуполь, Донецька обл., 87534 (загальноосвітня санаторна школа-інтернат І-ІІ ступенів №11 Донецької обл. ради, спортивний зал)",1892,1887,2201,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142257&prejim=1,Маріупольська міська громада,,16.3319238900634
142260,"м.Маріуполь – вул.Громової: 78, 80, 82, 84, 86, 88, 90, 92, 94, 96, 98, 100; вул.Зелінського: 50, 52, 54А, 56, 58, 60, 62, 64, 68, 70, 72/92, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92., 94., 96, 96/60, 98, 98А, 100, 102, 135, 135/137, 137/135, 139, 141, 141/139; вул.Купріна: 7–17, 25–27, 35., 37., 39., 41.–59/118; вул.Поштова, пров.Купріна, пров.Мінський, пров.Поштовий, просп.Миру: 177;","вул.Зелінського, 108А, м.Маріуполь, Донецька обл., 87537 (школа №25, хол, праве крило, 1-й поверх)",1973,1968,2228,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142260&prejim=1,Маріупольська міська громада,,12.9244804865687
142261,"м.Маріуполь – вул.Докучаєва, вул.Зелінського: 104, 106, 106А; вул.Купріна: 19–23А, 29–35, 37, 39; вул.Матросова: 62/64–116; вул.Митрополитська: 94; пров.Докучаєва, пров.Нарвський, проїзд Докучаєва, проїзд Матросова, військова частина 1659","вул.Зелінського, 108А, м.Маріуполь, Донецька обл., 87537 (школа №25, хол, ліве крило, 1-й поверх)",1958,1961,2298,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142261&prejim=1,Маріупольська міська громада,,17.364657814096
142262,"м.Маріуполь – вул.Аеродромна: 3, 7, 9, 11, 15–17, 19–21, 25, 27, 29, 31, 37; вул.Зелінського: 108, 110; вул.Купріна: 41; вул.Митрополитська: 72/11–78, 90–92, 98–102, 104–106, 108, 110А–110/43, 175–207; пров.Аеродромний, пров.Новгородський, пров.Сонячний: 2/31–46/40; проїзд Сонячний","вул.Зелінського, 108А, м.Маріуполь, Донецька обл., 87537 (школа №25, хол, праве крило, 2-й поверх)",1954,1953,2260,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142262&prejim=1,Маріупольська міська громада,,15.6601842374616
142276,"м.Маріуполь – вул.Бахмутська: 120, 122, 126; вул.Михайла Грушевського: 1, 3, 5, 7, 9, 15–19, 21; просп.Будівельників: 181, 185, 187, 189, 191, 193;","вул.Пилипа Орлика, 90А, м.Маріуполь, Донецька обл., 87554 (спеціалізована школа №63, хол, праве крило, 1-й поверх)",1757,1752,2397,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142276&prejim=1,Маріупольська міська громада,,36.4257256687536
142277,"м.Маріуполь – бульв.Шевченка: 325–329; вул.Пилипа Орлика: 102–106, 108, 110, 112–116; вул.9 Авіадивізії: 10–16;","вул.Пилипа Орлика, 90А, м.Маріуполь, Донецька обл., 87554 (спеціалізована школа №63, хол, праве крило, 2-й поверх)",1843,1836,2247,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142277&prejim=1,Маріупольська міська громада,,21.9207813347803
142278,"м.Маріуполь – вул.Пилипа Орлика: 80, 82–82 к.1, 84–94, 100; вул.9 Авіадивізії: 4–8;","вул.Пилипа Орлика, 90А, м.Маріуполь, Донецька обл., 87554 (спеціалізована школа №63, хол, ліве крило, 1-й поверх)",2002,1999,2379,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142278&prejim=1,Маріупольська міська громада,,18.8311688311688
142309,"м.Маріуполь – вул.Блажевича: 69; вул.Карпінського: 62–70; вул.Сєченова: 59, 61, 63–65, 72–74, 76, 78; просп.Металургів: 166А, 170, 172, 172А, 174;","вул.Гастелло, 17, м.Маріуполь, Донецька обл., 87513 (ліцей-школа №34, хол, ліворуч, 1-й поверх)",1745,1737,1920,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142309&prejim=1,Маріупольська міська громада,,10.0286532951289
142310,"м.Маріуполь – вул.Карпінського: 37А–37Б, 76–84,ГУРТ.3; вул.Покришкіна: 9,ГУРТ.7, 11,ГУРТ.6, 13,ГУРТ.8; вул.Сєченова: 75–75А,ГУРТ.18А, 77,ГУРТ.21, 79–81,ГУРТ.22;","вул.Гастелло, 17, м.Маріуполь, Донецька обл., 87513 (ліцей-школа №34, хол, праворуч, 2-й поверх)",1231,1228,2241,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142310&prejim=1,Маріупольська міська громада,,82.0471161657189
142314,"м.Маріуполь – вул.Покришкіна: 12, 16, 18, 20, 99; просп.Металургів: 156, 157, 159, 161, 163, 165, 167, 169, 171, 173, 175, 177, 179, 181, 183;","просп.Металургів, 150, м.Маріуполь, Донецька обл., 87531 (Міський Палац культури "" Український дім"")",1782,1780,2240,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142314&prejim=1,Маріупольська міська громада,,25.7014590347924
142316,"м.Маріуполь – вул.Гонди: 1–34, 35–35А, 37, 38А–39, 40.–41, 43–45А, 46.–48, 49–75, 77–91; вул.Забайкальська, вул.Зелена, вул.Купоросна, вул.Макара Мазая: 3, 10–28А, 30–32А, 34–58А; вул.Новостепова, вул.Проектна, вул.Фруктова, пров.Зелений, пров.Купоросний, пров.Проектний, пров.Степовий, пров.Фруктовий, пров.Шлаковий, проїзд Зелений, проїзд Степовий, просп.Металургів: 135, 137, 139, 141, 143, 145, 147, 149, 151, 153; тупик Степовий, тупик Шлаковий","вул.Гонди, 6, м.Маріуполь, Донецька обл., 87531 (колегіум-школа №28, хол)",1103,1103,2326,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142316&prejim=1,Маріупольська міська громада,,110.879419764279
142317,"м.Маріуполь – вул.Боткіна, вул.Вузівська, вул.Далекосхідна, вул.Контрольна, вул.Ливарна, вул.Лобачевського, вул.Макара Мазая: 3А, 29, 33, 60–70; вул.Монтажна, вул.Нестерова, вул.Нове життя, вул.Рельєфна, вул.Сормовська, пров.Студентський, Цегляний масив","вул.Макара Мазая, 3, м.Маріуполь, Донецька обл., 87531 (Машинобудівний ліцей №4, хол)",1261,1261,2171,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142317&prejim=1,Маріупольська міська громада,,72.1649484536082
142321,"м.Маріуполь – вул.Васнєцова, вул.Високовольтна, вул.Гурамішвілі, вул.Джамбули, вул.Динамівська, вул.Красна, вул.Ленська, вул.Модельна, вул.Токарна, вул.Ударна, вул.Чернишевського, пров.Красний, проїзд Західний (СТ Спутник), проїзд Східний (СТ Спутник), проїзд Центральний (СТ Спутник)","вул.Січових стрільців, 31А, м.Маріуполь, Донецька обл., 87552 (школа №45, столова)",929,930,1519,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142321&prejim=1,Маріупольська міська громада,,63.5091496232508
142322,"м.Маріуполь – вул.Джерельна: 1–128; вул.Заозерна: 79–83Б, 84А.–86, 86А, 87–106/8, 108, 112, 114–150; вул.Істоміна, вул.Кизирова, вул.Лугова, вул.Можайського, вул.Напірна, вул.Новака, вул.Перекопська, вул.Профспілкова, вул.Сиваська, вул.Софії Перовської, вул.Стадіонна, вул.Ухтомського, вул.Челюскінців, вул.Шекспіра, вул.Юлаєва, пров.Весняний, пров.Заозерний, пров.Заслонова, пров.Луговий, пров.Напірний, пров.Немировича-Данченка, пров.Перекопський, пров.Рилєєва, пров.Софії Перовської, пров.Стадіонний, Лікарняний масив","вул.Семашка, 19, м.Маріуполь, Донецька обл., 87504 (адміністративно-діловий центр, хол, ліворуч)",1094,1089,1999,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142322&prejim=1,Маріупольська міська громада,,82.7239488117002
142325,"м.Маріуполь – вул.Алтайська, вул.Варшавська, вул.Зеленогірська, вул.Мисливська: 4–7, 15.–17., 121–184/52; вул.Мурманська, вул.Невська, вул.Новосибірська, вул.Семафорна: 92–186; вул.Тріпільська, вул.Яснополянська, пров.Алтайський, пров.Зеленогірський, пров.Мисливський: 95–253; пров.Новосибірський, пров.Самарський, пров.Семафорний: 3, 9.; пров.Тріпільський, пров.Уральський: 4–59/80, 67–113/110; пров.Яснополянський, пров.1 Яснополянський, пров.2 Яснополянський, пров.3 Яснополянський, проїзд Алтайський, проїзд Новосибірський, проїзд Самарський, проїзд Тріпільський, тупик Алтайський, тупик Мисливський, тупик Тріпільський, тупик Уральський","вул.Невська, 91, м.Маріуполь, Донецька обл., 87519 (школа №50, актова зала)",1253,1254,2224,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142325&prejim=1,Маріупольська міська громада,,77.4940143655228
142331,"м.Маріуполь – вул.Дундича: 3–51/54, 63–69; вул.Курчатова: 37, 39, 41, 43, 51, 53–53/54, 55, 57, 59, 61–61/65, 63–63/57; пров.Дундича, пров.Солдатський","вул.Курчатова, 37, м.Маріуполь, Донецька обл., 87551 (Дитячий центр""Приазов’я"", актова зала, праворуч)",1196,1196,2018,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142331&prejim=1,Маріупольська міська громада,,68.7290969899665
142340,"м.Маріуполь – вул.Долгополова, вул.Жигулівська: 39, 41, 42, 42/44–43, 44, 45.–47, 48, 49.–50/52, 52, 54–55, 56, 59, 60/1, 61.–62, 63.–64, 65.–67, 68, 69.–71, 72, 73.–74, 76–77, 78, 79.–80, 81.–83, 85.–86, 87.–88, 90, 91–95, 96–98, 99.–101, 102, 103.–105, 106, 107.–109, 110, 111.–113, 115, 117, 118, 119.–121, 122–123, 124–125, 126–127, 128–129, 130, 131.–132/21, 133.–159; вул.Знаменська, вул.Космічна, вул.Кравченка: 1–98/15; вул.Курчатова: 1–36, 38, 40, 42, 46–50, 52–52А, 54–54А, 56/45, 58, 60, 62, 64–98; вул.Машинобудівна: 1/46–76; вул.Металургійна: 67, 69, 71, 73, 75, 77, 79, 81–108; вул.Приазовська, вул.Ракетна: 3.–4/6, 5.–7, 9, 10А–11, 12А–13, 14А–15, 16–17, 18–19, 20, 20А, 21., 22.–22А, 23.–24, 24А, 26, 27., 28/42, 29.–30, 31., 32., 35.–35/65, 178–211, 213–219; вул.Рівна: 46–47, 48–214; вул.Саврасова, вул.Солдатська, пров.Долгополова, пров.Знаменський, пров.Космічний, пров.Кравченка, пров.Курчатова, пров.Рівний, пров.Саврасова, пров.Садковий: 36–102; проїзд Долгополова, проїзд Знаменський, проїзд Космічний, проїзд Кравченка, проїзд Курчатова, проїзд Новосільський, проїзд Саврасова, проїзд Солдатський","вул.Дністровська, 35, м.Маріуполь, Донецька обл., 87551 (школа №30"", хол, праворуч, 2-й поверх)",1352,1345,2349,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142340&prejim=1,Маріупольська міська громада,,73.7426035502959
142372,"м.Маріуполь – бульв.Меотиди: 24/26, 26–40/41; вул.Азовстальська: 24; вул.Волгодонська: 1/20–18; вул.Московська: 15–16; просп.Перемоги: 27, 31/17, 37, 39;","вул.Волгодонська, 13, м.Маріуполь, Донецька обл., 87516 (школа №55, вестибюль, ліве крило, 1-й поверх)",1242,1239,2237,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142372&prejim=1,Маріупольська міська громада,,80.1127214170693
142375,"м.Маріуполь – бульв.Меотиди: 44; вул.Волгодонська: 21–23; вул.Володимирська: 29, 31–35, 37–63Г, 82–82А, 84, 86–86Б, 88–88Б; вул.Менделєєва: 5–42; вул.Міклухо-Маклая, вул.Пашковського: 1–22/40, 24/27, 26, 30, 32, 34, 38–38Б; вул.Слюсарна: 1А, 2, 3А–4, 5А–6, 7А–8, 9А–10Б, 11А–12Б, 13А, 14А–14Б, 15А, 17А, 19А, 21А, 23–23А; пров.Київський, пров.Лікувальний, просп.Єдності: 4–62, 64, 66, 68/7; просп.Перемоги: 18/5–26, 28–30, 32/42;","просп.Єдності, 51, м.Маріуполь, Донецька обл., 87502 (Маріупольський ліцей сфери послуг та торгівлі №60, вестибюль, праве крило, 1-й поверх)",1235,1230,2294,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142375&prejim=1,Маріупольська міська громада,,85.748987854251
142392,"м.Маріуполь – вул.А.Ф.Полєтаєва, вул.Дружби, вул.Звенигородська: 34–34/20, 36–130; вул.Зоряна: 58/4–87/11; вул.Кузбасівська, вул.Лютнева: 8, 10, 12/53, 16, 18, 20, 22, 24, 26, 30, 32, 34, 36, 38, 50, 52–61, 63, 65, 67, 69–73, 75–77, 79, 81, 83–83А, 85, 87–113, 161–225/98; вул.Ніжинська, вул.Олімпійська: 290/19–416; вул.Ризька, вул.130 Таганрозької дивізії: 21А–21/78А, 23–23А, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51, 53, 55, 57, 59, 61, 63, 65, 67, 69, 71, 73, 75, 77, 79, 81, 83, 85, 87–87А, 89, 91, 93, 95, 97–97/1; пров.А.Ф.Полєтаєва: 31, 33, 35–37, 39–119, 121–139А; пров.Звенигородський: 18/135–45/4; пров.Ніжинський, пров.Ризький: 1–26, 28–98/214; проїзд Дружби, проїзд Звенигородський, проїзд І Ніжинський, проїзд ІІ Ніжинський, проїзд Лютневий, тупик Бестужева, тупик Ризький","вул.Лютнева, 86, м.Маріуполь, Донецька обл., 87543 (школа №57, актовий зал)",1280,1284,2312,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142392&prejim=1,Маріупольська міська громада,,80.625
142413,"м.Маріуполь – вул.Бахчиванджи: 4, 6, 10 (приватний), 12 (приватний), 20 (приватний), 26, 32, 40, 52, 54, 60, 62, 74; вул.Громової: 1, 1А, 2, 3, 3А, 4, 5, 5А, 6, 6А, 6А/29, 7, 7А, 8, 8А, 9, 9А, 10, 10А, 11, 11А, 12, 12А, 13, 13А, 14, 14А, 15, 15А, 16, 16А, 17, 18, 18Б, 18А/34, 19, 20, 20А, 21, 22, 22А, 23, 24, 24А, 25, 26, 26А, 27, 28, 28А, 29, 30, 30А, 31, 32, 32А, 33, 34, 34А/12, 34А/12В, 36, 38, 38/34; вул.Єсеніна, вул.Зелінського: 1, 1/5, 3, 3 (приватний), 5, 5 (приватний), 7, 7 (приватний), 8, 9/2, 11/1, 13, 15, 17/15, 19/24, 21, 27, 29, 31, 33, 35/19, 41А, 43, 45, 47, 49, 51/56, 53; вул.Лавицького: 1–2/35А, 3 (приватний)–3А, 4А–4/29А, 6А–7/2, 8А–8Б/30А, 9 (приватний)–9/1, 10А (приватний)–10/29А, 12А–13А, 14 (приватний)–15, 16 (приватний)–19 (приватний), 20 (приватний)–21, 22 (приватний), 24 (приватний)–96; вул.Ростовська, вул.Січнева, вул.Талалихіна: 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 36/8; вул.Ткаченка-Петренка, пров.Білосарайський, пров.Вахтангова, пров.Дослідний, пров.Єйський, пров.Зелінського: 1, 1Б, 1В, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 25, 27; пров.Кінцевий, пров.Коперника, пров.Січневий, пров.Ткаченка-Петренка, пров.Шестакова, проїзд Білосарайський, проїзд Зелінського, проїзд Коперника","вул.Зелінського, 11, м.Маріуполь, Донецька обл., 87534 (електромеханічний технікум, центральний вестибюль)",911,914,2312,!cm_core.cm_index?option=ext_dvk&pid100=14&pf5242=142413&prejim=1,Маріупольська міська громада,,153.787047200878
680457,"с.Шекеринці, с.Нова Гутиська, с.Стара Гутиська","вул.Центральна, 110, с.Шекеринці, Ізяславський р-н, Хмельницька обл., 30317 (школа, кл.1, 2)",325,369,365,!cm_core.cm_index?option=ext_dvk&pid100=68&pf5242=680457&prejim=1,Плужненська сільська громада,,12.3076923076923
181017,"с.Ягодинка, с.Борятин, с.Іванівщина","вул.Центральна, 1, с.Ягодинка, Романівський р-н, Житомирська обл., 13023 (сільська рада, актова зала)",286,356,352,!cm_core.cm_index?option=ext_dvk&pid100=18&pf5242=181017&prejim=1,Романівська селищна громада,,23.0769230769231
321331,"м.Обухів – вул.Каштанова: 22–42; вул.Паркова, ж/м Лукавиця, ж/м Стожари, ж/м Стожари, сектор ІІІ, квартал 1, ж/м Стожари, сектор ІІІ, квартал 10, ж/м Стожари, сектор ІІІ, квартал 11, ж/м Стожари, сектор ІІІ, квартал 12, ж/м Стожари, сектор ІІІ, квартал 13, ж/м Стожари, сектор ІІІ, квартал 14, ж/м Стожари, сектор ІІІ, квартал 15, ж/м Стожари, сектор ІІІ, квартал 2, ж/м Стожари, сектор ІІІ, квартал 3, ж/м Стожари, сектор ІІІ, квартал 4, ж/м Стожари, сектор ІІІ, квартал 5, ж/м Стожари, сектор ІІІ, квартал 6, ж/м Стожари, сектор ІІІ, квартал 7, ж/м Стожари, сектор ІІІ, квартал 8, ж/м Стожари, сектор ІІІ, квартал 9, котеджне містечко ""Преображенський""","вул.Каштанова, 52, м.Обухів, Київська обл., 08700 (поліклініка, фойє)",1734,1906,1921,!cm_core.cm_index?option=ext_dvk&pid100=32&pf5242=321331&prejim=1,Обухівська міська громада,,10.7843137254902
740718,с.Лосівка,"вул.Партизанська, 9, с.Лосівка, Семенівський р-н, Чернігівська обл., 15452 (Приміщення колишнього ТОВ ""Вітчизна"", к.2)",99,99,111,!cm_core.cm_index?option=ext_dvk&pid100=74&pf5242=740718&prejim=1,Семенівська міська громада,,12.1212121212121
510693,с.Кароліно-Бугаз,"вул.Чорноморська, 5, с.Кароліно-Бугаз, Овідіопольський р-н, Одеська обл., 67844 (школа, фойє)",1791,1857,2032,!cm_core.cm_index?option=ext_dvk&pid100=51&pf5242=510693&prejim=1,Кароліно-Бугазька сільська громада,,13.4561697375768
510969,смт Затока,"вул.Заріпова, 2, смт Затока, м.Білгород-Дністровський, Одеська обл., 67772 (Затоківський навчально-виховний комплекс, фойє)",1899,2147,2487,!cm_core.cm_index?option=ext_dvk&pid100=51&pf5242=510969&prejim=1,Кароліно-Бугазька сільська громада,,30.9636650868879
320344,"м.Вишгород – вул.Ватутіна: 79; вул.Михайла Грушевського: 5–10; вул.Шолуденка: 13Б–328; пров.Квітковий, просп.Івана Мазепи: 1–4А, 6; мікрорайон ’Берізки’","вул.Михайла Грушевського, 7Б, м.Вишгород, Вишгородський р-н, Київська обл., 07300 (дитяча юнацька спортивна школа, спортивна зала)",2342,2361,2656,!cm_core.cm_index?option=ext_dvk&pid100=32&pf5242=320344&prejim=1,Вишгородська міська громада,,13.4073441502989
320394,"с.Хотянівка, с.Осещина","вул.Деснянська, 9, с.Хотянівка, Вишгородський р-н, Київська обл., 07363 (будинок культури, хол)",898,903,1055,!cm_core.cm_index?option=ext_dvk&pid100=32&pf5242=320394&prejim=1,Вишгородська міська громада,,17.4832962138085
