image,total
2017-07-05_07_00,4
2017-07-05_07_05,4
2017-07-05_07_10,4
2017-07-05_07_15,4
2017-07-05_07_20,4
2017-07-05_07_25,4
2017-07-05_07_30,4
2017-07-05_07_35,4
2017-07-05_07_40,4
2017-07-05_07_45,4
2017-07-05_07_50,4
2017-07-05_07_55,6
2017-07-05_08_00,6
2017-07-05_08_05,7
2017-07-05_08_10,7
2017-07-05_08_15,7
2017-07-05_08_20,6
2017-07-05_08_25,6
2017-07-05_08_30,6
2017-07-05_08_35,6
2017-07-05_08_40,6
2017-07-05_08_45,6
2017-07-05_08_50,6
2017-07-05_08_55,6
2017-07-05_09_00,5
2017-07-05_09_05,6
2017-07-05_09_10,7
2017-07-05_09_15,9
2017-07-05_09_20,9
2017-07-05_09_25,10
2017-07-05_09_30,10
2017-07-05_09_35,10
2017-07-05_09_40,10
2017-07-05_09_45,10
2017-07-05_09_50,10
2017-07-05_09_55,10
2017-07-05_10_00,9
2017-07-05_10_05,10
2017-07-05_10_10,9
2017-07-05_10_15,11
2017-07-05_10_20,11
2017-07-05_10_25,11
2017-07-05_10_30,11
2017-07-05_10_35,11
2017-07-05_10_40,11
2017-07-05_10_45,11
2017-07-05_10_50,10
2017-07-05_10_55,10
2017-07-05_11_00,11
2017-07-05_11_05,13
2017-07-05_11_10,13
2017-07-05_11_15,14
2017-07-05_11_20,14
2017-07-05_11_25,15
2017-07-05_11_30,16
2017-07-05_11_35,19
2017-07-05_11_40,19
2017-07-05_11_45,18
2017-07-05_11_50,21
2017-07-05_11_55,20
2017-07-05_12_00,20
2017-07-05_12_05,18
2017-07-05_12_10,18
2017-07-05_12_15,19
2017-07-05_12_20,18
2017-07-05_12_25,18
2017-07-05_12_30,20
2017-07-05_12_35,21
2017-07-05_12_40,19
2017-07-05_12_45,18
2017-07-05_12_50,19
2017-07-05_12_55,21
2017-07-05_13_00,21
2017-07-05_13_05,22
2017-07-05_13_10,21
2017-07-05_13_15,22
2017-07-05_13_20,21
2017-07-05_13_25,21
2017-07-05_13_30,22
2017-07-05_13_35,22
2017-07-05_13_40,22
2017-07-05_13_45,24
2017-07-05_13_50,24
2017-07-05_13_55,25
2017-07-05_14_00,24
2017-07-05_14_05,23
2017-07-05_14_10,24
2017-07-05_14_15,24
2017-07-05_14_20,23
2017-07-05_14_25,24
2017-07-05_14_30,23
2017-07-05_14_35,22
2017-07-05_14_40,23
2017-07-05_14_45,22
2017-07-05_14_50,22
2017-07-05_14_55,21
2017-07-05_15_00,22
2017-07-05_15_05,22
2017-07-05_15_10,23
2017-07-05_15_15,24
2017-07-05_15_20,24
2017-07-05_15_25,24
2017-07-05_15_30,22
2017-07-05_15_35,23
2017-07-05_15_40,22
2017-07-05_15_45,22
2017-07-05_15_50,22
2017-07-05_15_55,21
2017-07-05_16_00,21
2017-07-05_16_05,21
2017-07-05_16_10,18
2017-07-05_16_15,18
2017-07-05_16_20,17
2017-07-05_16_25,16
2017-07-05_16_30,18
2017-07-05_16_35,20
2017-07-05_16_40,20
2017-07-05_16_45,19
2017-07-05_16_50,19
2017-07-05_16_55,18
2017-07-05_17_00,18
2017-07-05_17_05,19
2017-07-05_17_10,20
2017-07-05_17_15,18
2017-07-05_17_20,18
2017-07-05_17_25,16
2017-07-05_17_30,16
2017-07-05_17_35,15
2017-07-05_17_40,15
2017-07-05_17_45,15
2017-07-05_17_50,15
2017-07-05_17_55,15
2017-07-05_18_00,14
2017-07-05_18_05,13
2017-07-05_18_10,13
2017-07-05_18_15,12
2017-07-05_18_20,12
2017-07-05_18_25,13
2017-07-05_18_30,13
2017-07-05_18_35,13
2017-07-05_18_40,14
2017-07-05_18_45,11
2017-07-05_18_50,12
2017-07-05_18_55,13
2017-07-05_19_00,12
2017-07-05_19_05,12
2017-07-05_19_10,11
2017-07-05_19_15,10
2017-07-05_19_20,8
2017-07-05_19_25,7
2017-07-05_19_30,7
2017-07-05_19_35,7
2017-07-05_19_40,9
2017-07-05_19_45,9
2017-07-05_19_50,11
2017-07-05_19_55,10
2017-07-05_20_00,10
2017-07-05_20_05,10
2017-07-05_20_10,10
2017-07-05_20_15,10
2017-07-05_20_20,11
2017-07-05_20_25,12
2017-07-05_20_30,12
2017-07-05_20_35,12
2017-07-05_20_40,11
2017-07-05_20_45,10
2017-07-05_20_50,8
2017-07-05_20_55,9
2017-07-05_21_00,8
2017-07-05_21_05,8
2017-07-05_21_10,7
2017-07-05_21_15,9
2017-07-05_21_20,9
2017-07-05_21_25,8
2017-07-05_21_30,8
2017-07-05_21_35,8
2017-07-05_21_40,8
2017-07-05_21_45,7
2017-07-05_21_50,7
2017-07-05_21_55,7
2017-07-05_22_00,7
2017-07-05_22_05,6
2017-07-05_22_10,7
2017-07-05_22_15,6
2017-07-05_22_20,7
2017-07-05_22_25,6
2017-07-05_22_30,6
2017-07-05_22_35,6
2017-07-05_22_40,6
2017-07-05_22_45,6
2017-07-05_22_50,6
2017-07-05_22_55,6
2017-07-06_07_00,6
2017-07-06_07_05,6
2017-07-06_07_10,6
2017-07-06_07_15,6
2017-07-06_07_20,7
2017-07-06_07_25,7
2017-07-06_07_30,7
2017-07-06_07_35,7
2017-07-06_07_40,6
2017-07-06_07_45,5
2017-07-06_07_50,5
2017-07-06_07_55,6
2017-07-06_08_00,8
2017-07-06_08_05,9
2017-07-06_08_10,9
2017-07-06_08_15,9
2017-07-06_08_20,8
2017-07-06_08_25,9
2017-07-06_08_30,9
2017-07-06_08_35,8
2017-07-06_08_40,8
2017-07-06_08_45,9
2017-07-06_08_50,9
2017-07-06_08_55,9
2017-07-06_09_00,10
2017-07-06_09_05,10
2017-07-06_09_10,9
2017-07-06_09_15,9
2017-07-06_09_20,9
2017-07-06_09_25,8
2017-07-06_09_30,8
2017-07-06_09_35,8
2017-07-06_09_40,10
2017-07-06_09_45,11
2017-07-06_09_50,13
2017-07-06_09_55,14
2017-07-06_10_00,14
2017-07-06_10_05,13
2017-07-06_10_10,13
2017-07-06_10_15,13
2017-07-06_10_20,13
2017-07-06_10_25,15
2017-07-06_10_30,16
2017-07-06_10_35,14
2017-07-06_10_40,11
2017-07-06_10_45,14
2017-07-06_10_50,14
2017-07-06_10_55,14
2017-07-06_11_00,13
2017-07-06_11_05,12
2017-07-06_11_10,12
2017-07-06_11_15,13
2017-07-06_11_20,14
2017-07-06_11_25,13
2017-07-06_11_30,13
2017-07-06_11_35,15
2017-07-06_11_40,16
2017-07-06_11_45,17
2017-07-06_11_50,18
2017-07-06_11_55,18
2017-07-06_12_00,19
2017-07-06_12_05,16
2017-07-06_12_10,16
2017-07-06_12_15,17
2017-07-06_12_20,18
2017-07-06_12_25,18
2017-07-06_12_30,18
2017-07-06_12_35,18
2017-07-06_12_40,17
2017-07-06_12_45,20
2017-07-06_12_50,23
2017-07-06_12_55,23
2017-07-06_13_00,23
2017-07-06_13_05,20
2017-07-06_13_10,21
2017-07-06_13_15,22
2017-07-06_13_20,23
2017-07-06_13_25,23
2017-07-06_13_30,23
2017-07-06_13_35,24
2017-07-06_13_40,24
2017-07-06_13_45,23
2017-07-06_13_50,23
2017-07-06_13_55,23
