image,total
2017-06-15_10_45,24
2017-06-15_10_50,24
2017-06-15_10_55,22
2017-06-15_11_00,21
2017-06-15_11_05,22
2017-06-15_11_10,27
2017-06-15_11_15,26
2017-06-15_11_20,23
2017-06-15_11_25,24
2017-06-15_11_30,22
2017-06-15_11_35,21
2017-06-15_11_40,27
2017-06-15_11_45,27
2017-06-15_11_50,28
2017-06-15_11_55,26
2017-06-15_12_00,27
2017-06-15_12_05,27
2017-06-15_12_10,27
2017-06-15_12_15,27
2017-06-15_12_20,28
2017-06-15_12_25,28
2017-06-15_12_30,28
2017-06-15_12_35,27
2017-06-15_12_40,27
2017-06-15_12_45,25
2017-06-15_12_50,24
2017-06-15_12_55,25
2017-06-15_13_00,21
2017-06-15_13_05,23
2017-06-15_13_10,23
2017-06-15_13_15,25
2017-06-15_13_20,25
2017-06-15_13_25,26
2017-06-15_13_30,26
2017-06-15_13_35,26
2017-06-15_13_40,25
2017-06-15_13_45,27
2017-06-15_13_50,27
2017-06-15_13_55,26
2017-06-15_14_00,28
2017-06-15_14_05,31
2017-06-15_14_10,31
2017-06-15_14_15,31
2017-06-15_14_20,30
2017-06-15_14_25,28
2017-06-15_14_30,26
2017-06-15_14_35,23
2017-06-15_14_40,27
2017-06-15_14_45,25
2017-06-15_14_50,25
2017-06-15_14_55,25
2017-06-15_15_00,24
2017-06-15_15_05,24
2017-06-15_15_10,23
2017-06-15_15_15,25
2017-06-15_15_20,24
2017-06-15_15_25,22
2017-06-15_15_30,25
2017-06-15_15_35,26
2017-06-15_15_40,23
2017-06-15_15_45,28
2017-06-15_15_50,28
2017-06-15_15_55,28
2017-06-15_16_00,27
2017-06-15_16_05,26
2017-06-15_16_10,26
2017-06-15_16_15,27
2017-06-15_16_20,27
2017-06-15_16_25,28
2017-06-15_16_30,27
2017-06-15_16_35,29
2017-06-15_16_40,29
2017-06-15_16_45,29
2017-06-15_16_50,29
2017-06-15_16_55,27
2017-06-15_17_00,28
2017-06-15_17_05,29
2017-06-15_17_10,30
2017-06-15_17_15,29
2017-06-15_17_20,27
2017-06-15_17_25,26
2017-06-15_17_30,30
2017-06-15_17_35,23
2017-06-15_17_40,20
2017-06-15_17_45,16
2017-06-15_17_50,18
2017-06-15_17_55,16
2017-06-15_18_00,20
2017-06-15_18_05,20
2017-06-15_18_10,21
2017-06-15_18_15,20
2017-06-15_18_20,15
2017-06-15_18_25,14
2017-06-15_18_30,14
2017-06-15_18_35,16
2017-06-15_18_40,21
2017-06-15_18_45,21
2017-06-15_18_50,22
2017-06-15_18_55,17
2017-06-15_19_00,15
2017-06-15_19_05,16
2017-06-15_19_10,15
2017-06-15_19_15,16
2017-06-15_19_20,19
2017-06-15_19_25,21
2017-06-15_19_30,19
2017-06-15_19_35,20
2017-06-15_19_40,26
2017-06-15_19_45,26
2017-06-15_19_50,24
2017-06-15_19_55,25
2017-06-15_20_00,24
2017-06-15_20_05,24
2017-06-15_20_10,25
2017-06-15_20_15,24
2017-06-15_20_20,22
2017-06-15_20_25,25
2017-06-15_20_30,24
2017-06-15_20_35,21
2017-06-15_20_40,21
2017-06-15_20_45,25
2017-06-15_20_50,26
2017-06-15_20_55,26
2017-06-15_21_00,26
2017-06-15_21_05,25
2017-06-15_21_10,22
2017-06-15_21_15,20
2017-06-15_21_20,23
2017-06-15_21_25,25
2017-06-15_21_30,21
2017-06-15_21_35,22
2017-06-15_21_40,22
2017-06-15_21_45,25
2017-06-15_21_50,23
2017-06-15_21_55,20
2017-06-15_22_00,18
2017-06-15_22_05,15
2017-06-15_22_10,15
2017-06-15_22_15,15
2017-06-15_22_20,15
2017-06-15_22_25,14
2017-06-15_22_30,9
2017-06-15_22_35,9
2017-06-15_22_40,7
2017-06-15_22_45,6
2017-06-15_22_50,6
2017-06-15_22_55,5
2017-06-16_07_00,3
2017-06-16_07_05,2
2017-06-16_07_10,1
2017-06-16_07_15,3
2017-06-16_07_20,3
2017-06-16_07_25,6
2017-06-16_07_30,4
2017-06-16_07_35,3
2017-06-16_07_40,4
2017-06-16_07_45,4
2017-06-16_07_50,5
2017-06-16_07_55,7
2017-06-16_08_00,8
2017-06-16_08_05,8
2017-06-16_08_10,8
2017-06-16_08_15,9
2017-06-16_08_20,12
2017-06-16_08_25,13
2017-06-16_08_30,13
2017-06-16_08_35,13
2017-06-16_08_40,13
2017-06-16_08_45,14
2017-06-16_08_50,15
2017-06-16_08_55,12
2017-06-16_09_00,12
2017-06-16_09_05,13
2017-06-16_09_10,12
2017-06-16_09_15,14
2017-06-16_09_20,14
2017-06-16_09_25,12
2017-06-16_09_30,12
2017-06-16_09_35,12
2017-06-16_09_40,12
2017-06-16_09_45,12
2017-06-16_09_50,11
2017-06-16_09_55,12
2017-06-16_10_00,13
2017-06-16_10_05,17
2017-06-16_10_10,18
2017-06-16_10_15,21
2017-06-16_10_20,19
2017-06-16_10_25,17
2017-06-16_10_30,18
2017-06-16_10_35,16
2017-06-16_10_40,19
2017-06-16_10_45,19
2017-06-16_10_50,21
2017-06-16_10_55,23
2017-06-16_11_00,23
2017-06-16_11_05,21
2017-06-16_11_10,26
2017-06-16_11_15,26
2017-06-16_11_20,25
2017-06-16_11_25,27
2017-06-16_11_30,26
2017-06-16_11_35,27
2017-06-16_11_40,27
2017-06-16_11_45,28
2017-06-16_11_50,26
2017-06-16_11_55,26
2017-06-16_12_00,29
2017-06-16_12_05,26
2017-06-16_12_10,26
2017-06-16_12_15,25
2017-06-16_12_20,26
2017-06-16_12_25,27
2017-06-16_12_30,29
2017-06-16_12_35,30
2017-06-16_12_40,28
2017-06-16_12_45,30
2017-06-16_12_50,29
2017-06-16_12_55,26
2017-06-16_13_00,26
2017-06-16_13_05,30
2017-06-16_13_10,27
2017-06-16_13_15,27
2017-06-16_13_20,29
2017-06-16_13_25,26
2017-06-16_13_30,26
2017-06-16_13_35,26
2017-06-16_13_40,27
2017-06-16_13_45,29
2017-06-16_13_50,26
2017-06-16_13_55,27
2017-06-16_14_00,27
2017-06-16_14_05,26
2017-06-16_14_10,26
2017-06-16_14_15,29
2017-06-16_14_20,24
2017-06-16_14_25,23
2017-06-16_14_30,28
2017-06-16_14_35,27
2017-06-16_14_40,26
2017-06-16_14_45,23
2017-06-16_14_50,24
2017-06-16_14_55,24
2017-06-16_15_00,22
2017-06-16_15_05,23
2017-06-16_15_10,23
2017-06-16_15_15,22
2017-06-16_15_20,24
2017-06-16_15_25,22
2017-06-16_15_30,27
2017-06-16_15_35,28
2017-06-16_15_40,24
2017-06-16_15_45,26
2017-06-16_15_50,26
2017-06-16_15_55,26
2017-06-16_16_00,25
2017-06-16_16_05,21
2017-06-16_16_10,26
2017-06-16_16_15,28
2017-06-16_16_20,29
2017-06-16_16_25,27
2017-06-16_16_30,25
2017-06-16_16_35,19
2017-06-16_16_40,20
2017-06-16_16_45,19
2017-06-16_16_50,21
2017-06-16_16_55,23
2017-06-16_17_00,26
2017-06-16_17_05,25
2017-06-16_17_10,22
2017-06-16_17_15,22
2017-06-16_17_20,25
2017-06-16_17_25,26
2017-06-16_17_30,27
2017-06-16_17_35,24
2017-06-16_17_40,23
2017-06-16_17_45,22
2017-06-16_17_50,21
2017-06-16_17_55,20
2017-06-16_18_00,23
2017-06-16_18_05,21
2017-06-16_18_10,20
2017-06-16_18_15,19
2017-06-16_18_20,19
2017-06-16_18_25,22
2017-06-16_18_30,22
2017-06-16_18_35,21
2017-06-16_18_40,22
2017-06-16_18_45,27
2017-06-16_18_50,30
2017-06-16_18_55,29
2017-06-16_19_00,26
2017-06-16_19_05,23
2017-06-16_19_10,26
2017-06-16_19_15,27
2017-06-16_19_20,25
2017-06-16_19_25,26
2017-06-16_19_30,27
2017-06-16_19_35,27
2017-06-16_19_40,27
2017-06-16_19_45,27
2017-06-16_19_50,28
2017-06-16_19_55,27
2017-06-16_20_00,27
2017-06-16_20_05,26
2017-06-16_20_10,27
2017-06-16_20_15,27
2017-06-16_20_20,26
2017-06-16_20_25,27
2017-06-16_20_30,28
2017-06-16_20_35,30
2017-06-16_20_40,26
2017-06-16_20_45,29
2017-06-16_20_50,30
2017-06-16_20_55,30
2017-06-16_21_00,29
2017-06-16_21_05,26
2017-06-16_21_10,27
2017-06-16_21_15,27
2017-06-16_21_20,27
2017-06-16_21_25,24
2017-06-16_21_30,22
2017-06-16_21_35,20
2017-06-16_21_40,20
2017-06-16_21_45,20
2017-06-16_21_50,22
2017-06-16_21_55,23
2017-06-16_22_00,21
2017-06-16_22_05,22
2017-06-16_22_10,18
2017-06-16_22_15,22
2017-06-16_22_20,23
2017-06-16_22_25,22
2017-06-16_22_30,23
2017-06-16_22_35,23
2017-06-16_22_40,22
2017-06-16_22_45,24
2017-06-16_22_50,21
2017-06-16_22_55,17
