ID,Зареєстровано,Вулиця,Будинок,Уточнення,Тип питання,Тип підпитання,Аварійна ситуація,Виконавець,За видом,Пріоритет,Об'єкт,Характер робіт,Результат,Дата закриття,ID_str,str_name_new,x,y
338,01.10.2013 08:26,"Стельмаха, вулиця",35,,Санітарне очищення,Прибрати сходову клітку,ні,ЖЕК-12,Скарга,Чергова,Будівля житлова (багатоквартирна),Недолік усунено,Вирішено позитивно,01.10.2013 15:32,761,вулиця Стельмаха,28.3943656115431,49.2322189904301
339,01.10.2013 08:25,"Литвиненка, вулиця",19,,Теплопостачання,Відсутнє опалення по стояку,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Проведено налагоджувальні роботи,Вирішено позитивно,01.10.2013 14:25,448,вулиця М.Литвиненко-Вольгемут,28.454743304171906,49.2262272648673
340,01.10.2013 08:25,"Квятека, вулиця",2,,Електропостачання,Відсутня електроенергія в будинку,ні,ЖЕК-12,Заява,Термінова,"КЛ 0,4 кВ",Проведено ремонтні роботи,Вирішено позитивно,01.10.2013 12:12,104,вулиця М.Ващука,28.3995876515533,49.2330838234041
341,01.10.2013 08:28,"Юності, проспект",17,,Каналізація,Засмічення внутрішньобудинкової мережі,ні,ЖЕК-6,Заява,Чергова,Будівля житлова (багатоквартирна),Прочищення трубопроводу,Вирішено позитивно,01.10.2013 11:15,932,проспект Юності,28.4156173293782,49.2311984489131
342,01.10.2013 08:35,"Келецька, вулиця",103,,Теплопостачання,Течія мережі в підвальному приміщенні,ні,ЖЕК-12,Заява,Чергова,Будівля житлова (багатоквартирна),Інше,Вирішено позитивно,02.10.2013 08:21,353,вулиця Келецька,28.405393631772,49.226405369758396
343,01.10.2013 08:37,"Острозького, вулиця",25,,Теплопостачання,Течія мережі в підвальному приміщенні,ні,ЖЕК-5,Заява,Термінова,Будівля житлова (багатоквартирна),Проведено зварювальні роботи,Вирішено позитивно,01.10.2013 13:54,607,вулиця Острозького,28.499291860347,49.2410557358271
344,01.10.2013 08:47,"Бевза, вулиця",36,,Гаряче водопостачання,Течія мережі по стояку,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Інше,Вирішено позитивно,01.10.2013 16:57,59,вулиця Бевза,28.4864037698934,49.237224027658385
345,01.10.2013 08:40,"Юності, проспект",12,,Освітлення,Відновити освітлення сходової клітини,ні,ЖЕК-6,Заява,Чергова,Будівля житлова (багатоквартирна),Інше,Вирішено позитивно,01.10.2013 11:10,932,проспект Юності,28.4122529448422,49.2287939935142
346,01.10.2013 08:44,"Чайковського, вулиця",22,,Електропостачання,Відсутня електроенергія в квартирі,ні,ЖЕК-15,Заява,Чергова,Будівля житлова (багатоквартирна),Проведено ремонтні роботи,Вирішено позитивно,01.10.2013 08:55,871,вулиця Чайковського,28.4738274915801,49.2505249482885
347,01.10.2013 08:45,"Фрунзе, вулиця",33,,Теплопостачання,Течія мережі на вводі в будинок,ні,ЖЕК-5,Заява,Термінова,Будівля житлова (багатоквартирна),Заміна набивки сальників,Вирішено позитивно,01.10.2013 11:46,37,вулиця Академіка Янгеля,28.4944225046498,49.245646138075706
348,01.10.2013 08:33,"Космонавтів, проспект",62,,Розрахунки за спожиті послуги,Перевірити правильність надання субсидій з водовідведення,ні,ЦМСУ,Заява,Чергова,,Заявнику надані вичерпні роз’яснення,Надано роз'яснення,09.10.2013 12:51,399,проспект Космонавтів,28.418404981868,49.2216500389622
349,01.10.2013 09:05,"Фрунзе, вулиця",15,,Електропостачання,Відсутнє електропостачання сходової клітини,ні,ЖЕК-5,Заява,Першочергова,Будівля житлова (багатоквартирна),Недолік усунено,Вирішено позитивно,01.10.2013 11:08,37,вулиця Академіка Янгеля,28.498778790353107,49.245945545268405
350,01.10.2013 08:54,"Кішки матроса, вулиця",59,,Гаряче водопостачання,Течія мережі в підвальному приміщенні,ні,ЖЕО,Заява,Першочергова,Будівля житлова (багатоквартирна),Встановлено хомут,Вирішено позитивно,01.10.2013 13:08,491,вулиця Матроса Кішки,28.455465023392897,49.2234699911269
