ID,Зареєстровано,Вулиця,Будинок,Уточнення,Тип питання,Тип підпитання,Аварійна ситуація,Виконавець,За видом,Пріоритет,Об'єкт,Характер робіт,Результат,Дата закриття,ID_str,str_name_new,x,y
373,01.10.2013 09:51,"Нахімова, вулиця",34,,Освітлення,Відновити освітлення по вулиці,ні,Міськсвітло,Заява,Чергова,ні,Заміна лампи,Вирішено позитивно,02.10.2013 16:29,564,вулиця Нахімова,28.4769354,49.213547999999996
374,01.10.2013 09:50,"Короленка, вулиця",35,,Каналізація,Засмічення зовнішньої мережі,ні,Водоканал,Заява,Термінова,100 мм,Прочищення трубопроводу,Вирішено позитивно,01.10.2013 14:40,392,вулиця Короленка,28.4950765710055,49.237329294956105
375,01.10.2013 09:49,"Келецька, вулиця",105,,Теплопостачання,Інше,ні,ЖЕК-12,Заява,Термінова (послуга відсутня),Будівля житлова (багатоквартирна),Встановлено хомут,Вирішено позитивно,01.10.2013 12:15,353,вулиця Келецька,28.4038448561433,49.2266959437601
376,01.10.2013 09:49,"Космонавтів, проспект",42,,Гаряче водопостачання,Зупинка ЦТП,ні,ВМТЕ,Заява,Термінова,"ВМТЕ, ЦТП Космонавтiв, проспект, № 54, 42, р. 6/1",Проведено ремонт теплової камери,Вирішено позитивно,01.10.2013 11:25,399,проспект Космонавтів,28.4195032234315,49.2231003222439
377,01.10.2013 09:52,"Стеценка, вулиця",24,,Теплопостачання,Течія мережі в підвальному приміщенні,ні,ЖЕК-5,Пропозиція,Чергова,Будівля житлова (багатоквартирна),Обстеження,Взято до відома,01.10.2013 10:53,765,вулиця Стеценка,28.4947242789804,49.244143805209504
378,01.10.2013 10:00,"Червоноармійська, вулиця",3,,Зливова каналізація,Течія мережі водовідведення,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Інше,Вирішено позитивно,01.10.2013 19:01,768,вулиця Стрілецька,28.480695396635298,49.2450706394839
379,01.10.2013 09:59,"Кона Ф., вулиця",18,,Холодне водопостачання,Затоплення квартири з верхнього поверху,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Недолік усунено,Вирішено позитивно,01.10.2013 12:57,511,вулиця І.Миколайчука,28.4415458831975,49.2276666684491
380,01.10.2013 10:03,"Зодчих, вулиця",16,,Електропостачання,Відсутня електроенергія в квартирі,ні,Уют,Заява,Чергова,,,Вирішено позитивно,04.10.2013 14:31,316,вулиця Зодчих,28.444447870685398,49.2191935700034
381,01.10.2013 10:03,"Пирогова, вулиця",23,,Холодне водопостачання,Відсутня вода по стояку,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Інше,Надано роз'яснення,01.10.2013 20:26,625,вулиця Пирогова,28.454318488733698,49.229940830493604
382,01.10.2013 10:02,"Чайковського, вулиця",15,,Гаряче водопостачання,Зупинка ЦТП,ні,ВМТЕ,Заява,Термінова,"ВМТЕ, ЦТП Чайковського, вулиця, № 15А",Проведено зварювальні роботи,Вирішено позитивно,01.10.2013 12:42,871,вулиця Чайковського,28.4739907842942,49.249686984277886
