id,title,img,museum,Название,Место создания,lon,lat,Датировка,Номер ГИМ,Отдел/коллекция,Размер,"Материал, техника",Инвентарный номер,Номер ГК,Ключевые слова,"Автор, мастер/Изготовитель",Выставки,Персоналии,Комплект,Предметный классификатор,Формат,"Лист, страницы",Шифр ОПИ,Историческое событие,Язык
7818262,"Муз. печ. 474. Цветник, б. г.   2-я пол. XIX - нач. XX в.в.",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTTumwkDX1NhfDWeU5bbfyT-CN_fag371bo_N4aiZJqiL.jpg?w=1000&h=1000,shm,Цветник,Почаев,,,XIX,ГИМ 103432/217,Рукописи и старопечатные книги/Старопечатные книги,,,Муз. печ. 474,28357648,,,,,,Кириллическая книга,8°,,,,
7818264,"Муз. печ. 475. Цветник, б. г.  2-я пол. XIX - нач. XX в.в.",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTbfi9ACkQCGsF9_W9_NPMxLqLGvUIo4Xk9kUbeApRmld.jpg?w=1000&h=1000,shm,Цветник,Почаев,,,XIX,ГИМ 103432/218,Рукописи и старопечатные книги/Старопечатные книги,,,Муз. печ. 475,28357626,,,,,,Кириллическая книга,8°,,,,
7818265,"Муз. печ. 476. Цветник, б. г.  2-я пол. XIX -нач. XX в.в.",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTdnmzpynuwrmMsJO7Hb-I2eKkwSBaks4tRODs1LuVUvr.jpg?w=1000&h=1000,shm,Цветник,Почаев,,,XIX,ГИМ 103432/219,Рукописи и старопечатные книги/Старопечатные книги,,,Муз. печ. 476,28357638,,,,,,Кириллическая книга,8°,,,,
157366,"Мнш. 1956. Синопсис, тип. лавры. 1680 г. [не ранее 1681]",https://catalog.shm.ru/api/spf/JM2TGc2UUAT97uG46NzmcZUoEsMlurOg-2lX9oNHqNyT1ce-p6jtCvOuZHG_PcQV.jpg?w=1000&h=1000,shm,Синопсис,Киев,50.451313,30.514711,1680,ГИМ 103432/22,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, чернила, типографская печать",Мнш. 1956,30825513,синопсис,тип. лавры,,,,Старопечатная книга,4°,213 л.,,,
7818266,"Муз. печ. 477. Цветник, б. г.   2-я пол. XIX -  нач. XX в.в.",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTWDoGo_je_Vnb24AW7VvkNPxgU7Hx5Z49eY48jWVRZm4.jpg?w=1000&h=1000,shm,Цветник,Почаев,,,XIX,ГИМ 103432/220,Рукописи и старопечатные книги/Старопечатные книги,,,Муз. печ. 477,28357660,,,,,,Кириллическая книга,8°,,,,
7818267,"Муз. печ. 478. Часовник, тип. Успенского м-ря. 1778 г. (7286)",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTc_X7vbAXQDtRegqnw4L1voNxJo1D4KNLZSfkhfRR6Xc.jpg?w=1000&h=1000,shm,Часовник,Почаев,,,1778,ГИМ 103432/221,Рукописи и старопечатные книги/Старопечатные книги,,,Муз. печ. 478,28357671,,тип. Успенского м-ря,,,,Старопечатная книга,8°,,,,
153033,"Муз. печ. 485. Летопись. Синопсис. Димитрий, тип. лавры. 1861 г.",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTZjyF0ItWRIdtKeiU15ubE-KRF7PvUrvN0-tzTKoAW9Z.jpg?w=1000&h=1000,shm,Летопись. Синопсис,Киев,50.451313,30.514711,1861,ГИМ 103432/228,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 485,28356987,синопсис,"Димитрий, митрополит Ростовский, тип. лавры",,,,Кириллическая книга,2°,,,,
153035,"Муз. печ. 486. Меч духовный. Лазарь Баранович, тип. лавры. 1666 (7174) г.",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTWEyqV45F2CiIdDEdVuJ60Xd3BfqR-DbY3xGqyMMf6sJ.jpg?w=1000&h=1000,shm,Меч духовный,Киев,50.451313,30.514711,1666,ГИМ 103432/229,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 486,28356965,Киев,"Лазарь Баранович, тип. лавры",,,,Старопечатная книга,2°,,,,
152465,"Муз. печ. 493. Книга житий святых, март - май. Димитрий Ростовский, тип. лавры. I. 1700 г.",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTQOPiuY9j7g_o4CMaDmi4MoMJ1hf87fSX4m31WRAXBl4.jpg?w=1000&h=1000,shm,"Книга житий святых, март - май",Киев,50.451313,30.514711,1700,ГИМ 103432/236,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 493,28353742,житие,"Димитрий Ростовский, тип. лавры",,,,Старопечатная книга,2°,,,,
152546,"Муз. печ. 502. Книга житий святых, июнь-август. Димитрий Ростовский, тип. лавры. IX. 1705 г.",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTa_wzMSlqglSJQ6X0CPJ_2WwhiY0Ufpu1pukOhG8v30C.jpg?w=1000&h=1000,shm,"Книга житий святых, июнь-август",Киев,50.451313,30.514711,1705,ГИМ 103432/245,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 502,28353996,житие,"Димитрий Ростовский, тип. лавры",,,,Старопечатная книга,2°,,,,
