position,name,week_start,person_type
8,Олаф Шольц,2022-07-04,enemy
9,Сергій Шойгу,2022-07-04,russian
10,Марія Захарова,2022-07-04,russian
1,Володимир Путін,2022-07-11,russian
2,Володимир Зеленський,2022-07-11,enemy
3,Джо Байден,2022-07-11,enemy
4,Борис Джонсон,2022-07-11,enemy
5,Дмитро Пєсков,2022-07-11,russian
6,Марія Захарова,2022-07-11,russian
7,Денис Пушилін,2022-07-11,russian
8,Ігор Конашенков,2022-07-11,russian
9,Олаф Шольц,2022-07-11,enemy
10,Елізабет Трасс,2022-07-11,enemy
1,Володимир Путін,2022-07-18,russian
2,Володимир Зеленський,2022-07-18,enemy
3,Джо Байден,2022-07-18,enemy
4,Сергій Лавров,2022-07-18,russian
5,Реджеп Ердоган,2022-07-18,friend
6,Борис Джонсон,2022-07-18,enemy
7,Олаф Шольц,2022-07-18,enemy
8,Дмитро Пєсков,2022-07-18,russian
9,Марія Захарова,2022-07-18,russian
10,Сергій Шойгу,2022-07-18,russian
1,Володимир Путін,2022-07-25,russian
2,Володимир Зеленський,2022-07-25,enemy
3,Сергій Лавров,2022-07-25,russian
4,Джо Байден,2022-07-25,enemy
5,Марія Захарова,2022-07-25,russian
6,Дмитро Пєсков,2022-07-25,russian
7,Ненсі Пелосі,2022-07-25,enemy
8,Борис Джонсон,2022-07-25,enemy
9,Реджеп Ердоган,2022-07-25,friend
10,Дональд Трамп,2022-07-25,friend
1,Ненсі Пелосі,2022-08-01,enemy
2,Володимир Зеленський,2022-08-01,enemy
3,Володимир Путін,2022-08-01,russian
4,Джо Байден,2022-08-01,enemy
5,Сергій Лавров,2022-08-01,russian
6,Дмитро Пєсков,2022-08-01,russian
7,Реджеп Ердоган,2022-08-01,friend
8,Юрій Кот,2022-08-01,russian
9,Ентоні Блінкен,2022-08-01,enemy
10,Євген Сатановський,2022-08-01,russian
1,Володимир Зеленський,2022-08-08,enemy
2,Володимир Путін,2022-08-08,russian
3,Джо Байден,2022-08-08,enemy
4,Євген Сатановський,2022-08-08,russian
5,Ненсі Пелосі,2022-08-08,enemy
6,Дональд Трамп,2022-08-08,friend
7,Марія Захарова,2022-08-08,russian
8,Денис Пушилін,2022-08-08,russian
9,Дмитро Пєсков,2022-08-08,russian
10,Реджеп Ердоган,2022-08-08,friend
1,Володимир Зеленський,2022-08-15,enemy
2,Володимир Путін,2022-08-15,russian
3,Реджеп Ердоган,2022-08-15,friend
4,Джо Байден,2022-08-15,enemy
5,Володимир Рогов,2022-08-15,russian
6,Сергій Аксьонов,2022-08-15,russian
7,Антоніу Гутерреш,2022-08-15,neutral
8,Олаф Шольц,2022-08-15,enemy
9,Олександр та Дар'я Дугіни,2022-08-15,russian
10,Дональд Трамп,2022-08-15,friend
1,Володимир Зеленський,2022-08-22,enemy
2,Володимир Путін,2022-08-22,russian
3,Олександр та Дар'я Дугіни,2022-08-22,russian
4,Джо Байден,2022-08-22,enemy
5,Олаф Шольц,2022-08-22,enemy
6,Наталія Вовк,2022-08-22,enemy
7,Реджеп Ердоган,2022-08-22,friend
