"Rank","Artist","URL","freq"
23,"Artik & Asti","https://www.youtube.com/watch?v=EGTve67nArU",90
25,"Jerry Heil","https://www.youtube.com/watch?v=057OCoikf3A",8
26,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
41,"MONATIK","https://www.youtube.com/watch?v=l0m3d6HJ18s",52
48,"Misha Marvin","https://www.youtube.com/watch?v=eqauYp7uGvg",37
58,"Dzidzio","https://www.youtube.com/watch?v=cb-Y8AWYc64",22
63,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
68,"Olya Polyakova","https://www.youtube.com/watch?v=xWVKIwCKjWg",37
77,"DanteS","https://www.youtube.com/watch?v=SmX8AiEljzM",2
91,"Max Barskih","https://www.youtube.com/watch?v=buQkpHOAsDk",37
97,"YARMAK","https://www.youtube.com/watch?v=QZYswnH9H-A",8
5,"Artik & Asti","https://www.youtube.com/watch?v=Jb1_hbjD8tQ",90
6,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
10,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
17,"Artik & Asti","https://www.youtube.com/watch?v=XnrXCpHBor8",90
19,"A.R.T.I.K","https://www.youtube.com/watch?v=ptx7sPY0EeA",3
20,"Artik & Asti","https://www.youtube.com/watch?v=EGTve67nArU",90
21,"DanteS","https://www.youtube.com/watch?v=SmX8AiEljzM",2
26,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
27,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
36,"Dzidzio","https://www.youtube.com/watch?v=cb-Y8AWYc64",22
46,"Max Barskih","https://www.youtube.com/watch?v=buQkpHOAsDk",37
47,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
56,"Artik & Asti","https://www.youtube.com/watch?v=tLYgwj0gAm0",90
58,"Misha Marvin","https://www.youtube.com/watch?v=eqauYp7uGvg",37
60,"YARMAK","https://www.youtube.com/watch?v=QZYswnH9H-A",8
61,"Jerry Heil","https://www.youtube.com/watch?v=057OCoikf3A",8
62,"Olya Polyakova","https://www.youtube.com/watch?v=xRcj_SqWhE4",37
66,"Jerry Heil","https://www.youtube.com/watch?v=jMalTbwwKXk",8
68,"A.R.T.I.K","https://www.youtube.com/watch?v=9mNA1NppUuQ",3
75,"Olya Polyakova","https://www.youtube.com/watch?v=xWVKIwCKjWg",37
1,"Artik & Asti","https://www.youtube.com/watch?v=Jb1_hbjD8tQ",90
3,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
7,"A.R.T.I.K","https://www.youtube.com/watch?v=ptx7sPY0EeA",3
13,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
16,"Artik & Asti","https://www.youtube.com/watch?v=EGTve67nArU",90
23,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
34,"Dzidzio","https://www.youtube.com/watch?v=cb-Y8AWYc64",22
39,"MONATIK","https://www.youtube.com/watch?v=l0m3d6HJ18s",52
40,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
51,"Max Barskih","https://www.youtube.com/watch?v=buQkpHOAsDk",37
52,"Artik & Asti","https://www.youtube.com/watch?v=tLYgwj0gAm0",90
63,"The Hardkiss","https://www.youtube.com/watch?v=Ol5aHdQADVQ",22
64,"Artik & Asti","https://www.youtube.com/watch?v=9mNA1NppUuQ",90
75,"Misha Marvin","https://www.youtube.com/watch?v=eqauYp7uGvg",37
83,"Tvorchi","https://www.youtube.com/watch?v=SbiAEhFpfuA",2
88,"Nensi","https://www.youtube.com/watch?v=7ECJcEyWWeg",5
89,"Olya Polyakova","https://www.youtube.com/watch?v=xWVKIwCKjWg",37
100,"Jerry Heil","https://www.youtube.com/watch?v=jMalTbwwKXk",8
5,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
8,"Artik","https://www.youtube.com/watch?v=ptx7sPY0EeA",2
13,"Mozgi","https://www.youtube.com/watch?v=3Zt3Jz1V_o4",34
18,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
24,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
31,"MONATIK","https://www.youtube.com/watch?v=l0m3d6HJ18s",52
38,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
45,"Misha Marvin","https://www.youtube.com/watch?v=OQEfujHhtNw",37
47,"The Hardkiss","https://www.youtube.com/watch?v=Ol5aHdQADVQ",22
50,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
52,"Tvorchi","https://www.youtube.com/watch?v=SbiAEhFpfuA",2
57,"Olya Polyakova","https://www.youtube.com/watch?v=xRcj_SqWhE4",37
60,"Artik & Asti","https://www.youtube.com/watch?v=tLYgwj0gAm0",90
61,"NK","https://www.youtube.com/watch?v=TWTqs6sH2LU",37
62,"Max Barskih","https://www.youtube.com/watch?v=buQkpHOAsDk",37
80,"Olya Polyakova","https://www.youtube.com/watch?v=xWVKIwCKjWg",37
84,"MONATIK","https://www.youtube.com/watch?v=i6VUQoen_GA",52
94,"Artik & Asti","https://www.youtube.com/watch?v=9mNA1NppUuQ",90
7,"Artik","https://www.youtube.com/watch?v=ptx7sPY0EeA",2
9,"MONATIK","https://www.youtube.com/watch?v=i6VUQoen_GA",52
15,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
24,"Mozgi","https://www.youtube.com/watch?v=3Zt3Jz1V_o4",34
27,"MONATIK","https://www.youtube.com/watch?v=l0m3d6HJ18s",52
