"num","edrpou","name","name_short","link","sales_2019","profit_2019","sales_2018","profit_2018","difference","status","reg_date","kved","gov_share","fpg","percent_19","group","dir_2019_change","fillColor"
41,"5311609","ДОЧІРНЄ ПІДПРИЄМСТВО ДЕРЖАВНОЇ КОМПАНІЇ ""УКРСПЕЦЕКСПОРТ"" ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СПЕЦІАЛІЗОВАНА ЗОВНІШНЬОТОРГОВЕЛЬНА ФІРМА ""ПРОГРЕС""","ПРОГРЕС","https://youcontrol.com.ua/search/?q=5311609",1308.6,172,"461.6",82.7,89.3,"noStop","1997-03-26","46.90 Неспеціалізована оптова торгівля","NULL","0",107.980652962515,"1",0,"green"
42,"206539"," ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ОДЕСЬКИЙ ПРИПОРТОВИЙ ЗАВОД"" (АТ ""ОПЗ"")","ПуАТ ""ОДЕСЬКИЙ ПРИПОРТОВИЙ ЗАВОД"" ","https://youcontrol.com.ua/search/?q=206539",1299.3,3.1,"1118.9",-750.5,753.6,"noStop","1996-11-25","20.15 Виробництво добрив і азотних сполук","99.6","0",100.413057961359,"1",0,"green"
43,"40695853","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА ІМ. М. С. СУРГАЯ""","ДП ""ШАХТА ІМ. М. С. СУРГАЯ""","https://youcontrol.com.ua/search/?q=40695853",1256.1,93.9,"458.4",-2,95.9,"noStop","2016-07-28","05.10 Добування кам'яного вугілля","NULL","0",4795,"4",0,"green"
44,"31599557","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВУГІЛЬНА КОМПАНІЯ ""КРАСНОЛИМАНСЬКА""","ДП ""ВУГІЛЬНА КОМПАНІЯ ""КРАСНО- ЛИМАНСЬКА""","https://youcontrol.com.ua/search/?q=31599557",1243.4,-271.9,"46.3",-37.7,-234.2,"noStop","2001-11-23","05.10 Добування кам'яного вугілля","NULL","0",-621.220159151194,"2",1,"red"
45,"40225511","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖВУГЛЕПОСТАЧ""","ДП ""ДЕРЖВУГЛЕПОСТАЧ""","https://youcontrol.com.ua/search/?q=40225511",1180.8,-43.7,"5214.2",0.4,-44.1,"noStop","2016-01-20","46.71 Оптова торгівля твердим, рідким, газоподібним паливом і подібними продуктами","NULL","0",-11025,"4",1,"red"
46,"130725","ВІДКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ТЕРНОПІЛЬОБЛЕНЕРГО""","ВАТ ""ТЕРНОПІЛЬОБЛЕНЕРГО""","https://youcontrol.com.ua/search/?q=130725",1083,0.6,"2077.9",49.1,-48.5,"noStop","1999-02-19","35.13 Розподілення електроенергії","51","-",-98.7780040733198,"1",0,"red"
47,"40885849","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КАЛУСЬКА ТЕПЛОЕЛЕКТРОЦЕНТРАЛЬ-НОВА""","ДП ""КАЛУСЬКА ТЕПЛОЕЛЕКТРО- ЦЕНТРАЛЬ-НОВА""","https://youcontrol.com.ua/search/?q=40885849",1080.9,-60.4,"1270.3",9.5,-69.9,"noStop","2016-10-10","35.30 Постачання пари, гарячої води та кондиційованого повітря","NULL","-",-735.789473684211,"2",1,"red"
48,"1125672","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МОРСЬКИЙ ТОРГОВЕЛЬНИЙ ПОРТ ""ЧОРНОМОРСЬК""","ДП ""МОРСЬКИЙ ТОРГОВЕЛЬНИЙ ПОРТ ""ЧОРНОМОРСЬК""","https://youcontrol.com.ua/search/?q=1125672",993.7,-177,"1101.7",10,-187,"noStop","1993-12-30","52.22 Допоміжне обслуговування водного транспорту","NULL","-",-1870,"3",1,"red"
49,"1125755","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МАРІУПОЛЬСЬКИЙ МОРСЬКИЙ ТОРГОВЕЛЬНИЙ ПОРТ""","ДП ""МАРІУПОЛЬСЬКИЙ МОРСЬКИЙ ТОРГОВЕЛЬНИЙ ПОРТ""","https://youcontrol.com.ua/search/?q=1125755",945.6,-35.4,"959",58.1,-93.5,"noStop","1991-11-27","52.22 Допоміжне обслуговування водного транспорту","NULL","-",-160.929432013769,"1",1,"red"
50,"14308368","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВИРОБНИЧЕ ОБ'ЄДНАННЯ ПІВДЕННИЙ МАШИНОБУДІВНИЙ ЗАВОД ІМЕНІ О. М. МАКАРОВА""","ДП ВО ПМЗ ІМ О.М.МАКАРОВА","https://youcontrol.com.ua/search/?q=14308368",923.8,118.8,"1310.4",-98.6,217.4,"noStop","2000-11-24","30.30 Виробництво повітряних і космічних літальних апаратів, супутнього устатковання","NULL","-",220.486815415821,"2",0,"green"
51,"1125821","ПРАТ ""УКРАЇНСЬКЕ ДУНАЙСЬКЕ ПАРОПЛАВСТВО""","ПРАТ ""УКРАЇНСЬКЕ ДУНАЙСЬКЕ ПАРОПЛАВСТВО""","https://youcontrol.com.ua/search/?q=1125821",873.5,-8.6,"890.6",7.2,-15.8,"noStop","1997-09-22","50.20 Вантажний морський транспорт","100","-",-219.444444444444,"2",1,"red"
52,"130850","АКЦІОНЕРНЕ ТОВАРИСТВО ""КРИВОРІЗЬКА ТЕПЛОЦЕНТРАЛЬ""","АТ ""КРИВОРІЗЬКА ТЕПЛОЦЕНТРАЛЬ""","https://youcontrol.com.ua/search/?q=130850",872.7,-421.8,"769.2",-299.1,-122.7,"noStop","1999-09-01","35.30 Постачання пари, гарячої води та кондиційованого повітря","100","-",-41.0230692076229,"1",0,"red"
53,"4737111","ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КИЇВ-ДНІПРОВСЬКЕ МІЖГАЛУЗЕВЕ ПІДПРИЄМСТВО ПРОМИСЛОВОГО ЗАЛІЗНИЧНОГО ТРАНСПОРТУ""","ПрАТ «КИЇВ-ДНІПРОВСЬКЕ МППЗТ»","https://youcontrol.com.ua/search/?q=4737111",783.6,27,"648.8",37.8,-10.8,"noStop","1992-06-16","49.20 Вантажний залізничний транспорт","100","-",-28.5714285714286,"1",1,"red"
54,"8029701","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛУЦЬКИЙ РЕМОНТНИЙ ЗАВОД ""МОТОР""","ДП ""ЛУЦЬКИЙ РЕМОНТНИЙ ЗАВОД ""МОТОР""","https://youcontrol.com.ua/search/?q=8029701",753.1,203.7,"802.7",362.2,-158.5,"noStop","1992-01-24","30.30 Виробництво повітряних і космічних літальних апаратів, супутнього устатковання","NULL","-",-43.7603533959139,"1",0,"red"
